Bedriftsnavn; Adresse; Postnummer; Poststed; Godkjenningstyper; Organisasjonsnummer; Godkjenningsnummer
LUNDEBY AUTO A.S.; Lundebyveien 415 (Fjellstad); 1878; Hærland; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 976679547; 213
MC-verkstedet; Industrivegen 53; 5210; OS; MOTORSYKKELOGMOPED; 980036324; 6512
JPL Bilverksted AS; Nedre Movei 1; 3215; SANDEFJORD; BILVERKSTED01, KONTROLLORGAN01; 983692443; 11733
DEKKMANN AS avd. Namsos; Industrivegen 9; 7820; SPILLUM; HJUL; 966242825; 28998
Vianor AS, avd. Kristiansand; Stemmane 4; 4636; KRISTIANSAND S; BILVERKSTED01, KONTROLLORGAN01; 935429447; 5350
KP TRANSPORT AS; Markveien 25; 8402; SORTLAND; HJUL; 990064989; 31460
Øyes Karosseri AS; Skanseveien 7; 6507; KRISTIANSUND N; BILSKADE; 911877082; 25621
Etac Bil As; Helgelandsmoen Næringspark Bygg nr. 40 Hall E-G; 3512; HØNEFOSS; BILVERKSTED01, PABYGGER; 999065465; 23182
Helleland Bil og Landbruk AS; Sirdalsveien 42; 4376; HELLELAND; BILVERKSTED01, TRAKTOR, KONTROLLORGAN01; 991473327; 12332
Søndeled Bilverksted AS; Øren 49; 4990; Søndeled; BILVERKSTED01B, KONTROLLORGAN01B; 989753924; 5325
HORTEN BILGLASS AS; TOMTEGATA 4; 3183; HORTEN; BILGLASS; 994853147; 28356
Bilservice Egersund AS; Høljebakkane 1A; 4373; EGERSUND; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 993732877; 14278
Holmlia Bilverksted AS; Holmliaveien 100 ; 1252; OSLO; BILVERKSTED01, KONTROLLORGAN01; 983788580; 1309
ARTIC BIL AS; MORENEVEGEN 26; 9027; RAMFJORDBOTN; BILVERKSTED01; 996228789; 30413
CARGLASS AS avd. Ski; Teglveien 16; 1400; SKI; BILGLASS; 985758220; 29525
Austevoll Auto AS; Vik; 5396; Vestre Vinnesvåg; BILVERKSTEDALLE, BILVERKSTED01B, KONTROLLORGAN03, KONTROLLORGAN02, KONTROLLORGAN01B; 983984266; 6736
Karmøy Bil AS; Avaldsnesvegen 72 ; 4250; KOPERVIK; BILVERKSTED01, KONTROLLORGAN01; 999550266; 24402
BenTro Bil AS; Rombaksveien 45; 8517; NARVIK; BILVERKSTED01, KONTROLLORGAN01; 974496313; 18219
FRAMNES TRADING AS; Doneheia 167; 4516; MANDAL; HENGERESPALOPSBREMSEANLEGG; 991246924; 30650
DRAMCO MOTOR ALFREDSEN; ROSENKRANTZGATA 280; 3027; DRAMMEN; BILVERKSTED01, KONTROLLORGAN01; 918964444; 31273
NAF Senter Tromsø ; Alkeveien 10; 9015; TROMSØ; KONTROLLORGAN01, BILVERKSTED01; 987372540; 9526
Lofthus  Auto AS; Ullensvangvegen 689; 5781; LOFTHUS; BILVERKSTED01B, KONTROLLORGAN01B; 960827244; 6709
BIRI DEKK & SERVICE AS; BIRIVEGEN 69; 2836; BIRI; HJUL; 922183937; 31164
DEKKSPESIALISTEN SANDEFJORD AS; NYGÅRDSVEIEN 80; 3221; SANDEFJORD; HJUL; 914723671; 29097
Felleskjøpet Agri SA avd. Volda; Morkamyra 21; 6105; VOLDA; TRAKTOR; 911608103; 19279
DEKK OG DELER AS avd. Landås; Nattlandsvegen 104; 5094; BERGEN; HJUL; 996430022; 31023
Lantz Auto AS; Verksvegen 13; 4735; Evje; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04; 970995110; 5328
